674094,Eyn Dfr,Sxgw,19896,7618927954
312334,Pegx Nvsm,Yyc,23806,0900613893
146066,W Ezy,Ft,29659,4076361542
797372,Eupao Pelp,Pjr,9759,1826603801
750947,Jlo Ouwmn,X,27939,0877838371
173496,Fx Wkun,Xr,1588,4380880681
689722,Uzr Due,J,22647,2653924618
911976,Baoly Tk,Pstswd,31330,8255491250
239396,Xr Lvy,Gu,11702,6163355328
653618,Gk Fxt,B,26440,3440596342
987581,Lug Kdz,Neq,13986,2037297534
821132,Hfm Mzb,Yx,25761,6750045495
948216,Zeumr Oiif,Neds,25628,9830223671
854026,Unps Ca,X,17714,8857708930
847837,W T,Oa,32357,2035666767
719162,Ycrb Hop,Q,16973,7923731578
583241,Zpi Vixz,O,1994,6528103155
321748,J Eradgn,Ugpn,19315,1048592541
195827,Ulfo Jn,U,5602,2908745680
674313,Xto Bzuwj,Ip,13649,1435526892
659450,Cy Ui,Tvr,26970,5583783793
118280,Qkozk Mr,Stsf,24767,4586155196
954253,W Qriif,U,29142,4462682551
615176,Mcf Ud,Uiwb,24029,0088051436
792198,Dkhz Czb,Qpz,5939,7014819359
898014,Rp Acrs,Tp,1680,0838726938
903384,Ynfnv Ey,N,30081,6978941566
266714,Sogfz Lfwkf,Yg,26810,4603624588
421498,Mmrh Fqaqc,Zax,27831,2089282055
676787,Tyzvu Uf,I,23147,4689835515
184054,Yax Ktdh,S,28165,1955747340
481523,E E,Cv,32612,1995556059
463490,Ffcf O,Rw,25392,5444250421
577955,Uay Mmuk,Scwa,18701,7272647132
163832,Ipo I,Fuw,21992,6387617237
658587,Tk Qmjjhs,Cyt,703,4103739597
102867,Cw Rm,Er,3504,7581704881
967895,Riow Fg,Daw,11370,4482725847
695190,Un Rq,Fk,32545,0795382321
440759,Hcd Fviue,F,26490,9942087873
876421,Fur Yocqk,A,27033,7407601293
751566,Mu Tf,Cv,15566,3823948513
481646,Xq Zirn,Ax,31227,2534075531
688017,Ov Fkt,Nun,2188,5918178669
426658,Yzx Obqg,Pg,9136,6498432538
927068,Hdzr Zqlv,Thg,4382,7015229051
236886,S C,Usol,3685,8687809569
101355,Snc Su,Hn,338,1476823027
685971,Wxbkn Efm,Upo,14869,1381698013
239365,Sd Vpn,Wo,21563,5206728006
530643,Ow Xhb,Avo,18763,3212288874
205995,Utn Mj,Wlg,12245,3924905747
963090,Kf Hjb,Lait,14791,2515779417
357884,Jo Wlrlz,Dtb,15023,2155389284
775840,Ov Oqn,Wn,8617,0983579048
840235,T Uq,M,12780,9376587897
116501,A Du,Klj,22975,2197093331
256959,Kf Ps,Xijer,8708,2176173060
556072,Tqayg Jdh,Tdl,31204,8106876512
956154,Xnv Dh,Wov,894,0303211081
372892,K Czl,Ncb,1848,9503401534
432949,Qm X,Zrnx,14399,8329332834
520121,Hcuo Tx,Akryr,1893,8795929130
619202,Lae B,Zv,23894,0432310277
330703,Vncfs J,Xfvx,24980,8001850892
808514,H Ya,Brg,15434,5561493832
337301,Ukmz Toiz,Go,23968,6346383427
590140,Frt N,Boea,2504,6200651619
735006,T Ti,Aylp,21266,0581507341
564170,Yfps Bl,Mit,19104,1598954952
122308,Gppx T,Z,18722,6375410122
854677,Qvm Rj,Szp,4716,5679023198
884443,Ky Bh,Orj,15408,7440411540
586814,Ed Nw,Qsi,2557,8284794074
918221,K Lbq,Cwekj,4592,4561219180
777411,Ywsa A,Pnax,32504,9721320927
450329,Ulk Pvz,Iwd,17554,5196792756
624630,V Ke,Jkethe,23044,6467401244
334502,L Xt,Emf,12947,8870344671
212123,Nebc D,Lbtll,6817,3752071706
717548,Tqb V,Okn,16587,4914808997
399606,Sxbo Qqt,Lqvi,32262,0822689778
730563,Ne Mhi,Sanr,23493,2703609896
202903,M B,Xli,28996,2169884145
330277,Aug Ph,X,2928,9114033158
405102,Tqea Eizy,Uqvxm,76,4066813310
489389,Utqr B,M,30324,3857881351
808655,Vzy Atw,B,18282,2602216501
873835,Lt Ek,Oe,14444,8794435442
375669,Lns O,Zpry,31642,5853328769
946321,D K,Lw,12473,0116534953
437709,D Qrvv,Fvek,22893,4433676614
616596,Trscpg Wfi,Yu,10721,4859444994
832174,Xgzm Rvi,Qifz,19105,4351328090
749443,Ulvph R,Fz,4158,7282366965
438076,Qvkr Svzs,Xjmy,21412,9805029602
892673,Kwdl S,Ep,27297,9466288168
689790,Marr Wkt,Hanq,28050,5685370752
904985,Gfj Vt,Ijj,5034,0437808812
949193,Kx Wz,Ju,19534,8644592442
725323,G Bq,Ct,29237,7908574256
388285,Hh Jvqtd,Bzszy,27842,0045636467
839147,Spk Fhoo,R,27937,4034100436
505686,Ygm U,Yc,1708,4622965640
696291,Izg Za,Rlir,21420,7477539129
111498,Ziqq Kfl,Im,15320,9391134824
714394,Rxl B,Lhwl,26805,4812846731
485426,S Ggu,Qz,16192,1907634457
